"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Aria Trattoria","(617) 742-1276","https://www.yellowpages.com/boston-ma/mip/aria-trattoria-480202715?lid=1000439565630","Restaurants,Italian Restaurants,Fine Dining Restaurants","http://www.arianorthend.com","","253 Hanover St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"2. ","Abe & Louie's","(617) 536-6300","https://www.yellowpages.com/boston-ma/mip/abe-louies-2198151","Restaurants,Steak Houses,Seafood Restaurants","https://abeandlouies.com","","793 Boylston St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"3. ","Morton's The Steakhouse","(617) 266-5858","https://www.yellowpages.com/boston-ma/mip/mortons-the-steakhouse-22589061","Restaurants,Steak Houses","http://www.mortons.com","","699 Boylston St Ste 1","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"4. ","Amrheins Restaurant","(617) 268-6189","https://www.yellowpages.com/boston-ma/mip/amrheins-restaurant-3700301","Restaurants,American Restaurants,Take Out Restaurants","http://www.amrheinsboston.com","","80 W Broadway","Boston","MA","02127","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"5. ","Bond Restaurant-Lounge","(617) 956-8765","https://www.yellowpages.com/boston-ma/mip/bond-restaurant-lounge-22725897","Restaurants,Family Style Restaurants","","","250 Franklin St","Boston","MA","02110","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"6. ","The Oceanaire Seafood Room","(617) 742-2277","https://www.yellowpages.com/boston-ma/mip/the-oceanaire-seafood-room-455904020","Restaurants,Seafood Restaurants,Fine Dining Restaurants","https://www.theoceanaire.com/location/boston-ma","","40 Court St","Boston","MA","02108","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"7. ","B&G Oysters","(617) 423-0550","https://www.yellowpages.com/boston-ma/mip/b-g-oysters-2650359","Restaurants,Seafood Restaurants,American Restaurants","http://www.bandgoysters.com","","550 Tremont St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"8. ","Fire & Ice","(617) 482-3473","https://www.yellowpages.com/boston-ma/mip/fire-ice-7382808","Restaurants,Family Style Restaurants,Mongolian Restaurants","http://www.fire-ice.com","","205 Berkeley St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"9. ","Houlihan's","(617) 367-6377","https://www.yellowpages.com/boston-ma/mip/houlihans-467872658","Restaurants,American Restaurants,Family Style Restaurants","http://www.houlihans.com","","60 State St","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"10. ","McCormick & Schmick's","(617) 720-5522","https://www.yellowpages.com/boston-ma/mip/mccormick-schmicks-467887008","Restaurants,Seafood Restaurants,American Restaurants","http://www.mccormickandschmicks.com","","1 Faneuil Hall Market Pl","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
